,covariance_type,n_iter,tols,score
0,diag,100,0.01,-202456.72217310208
1,diag,100,0.001,-202467.1312522529
2,diag,100,0.0001,-202468.96200382925
3,diag,200,0.01,-202456.72217310208
4,diag,200,0.001,-202467.13125225288
5,diag,200,0.0001,-202468.96200382937
6,diag,300,0.01,-202456.72217310208
7,diag,300,0.001,-202467.1312522529
8,diag,300,0.0001,-202468.96200382925
9,full,100,0.01,2019.8976303559714
10,full,100,0.001,1951.0202971703561
11,full,100,0.0001,1915.300228536519
12,full,200,0.01,2019.8976318176167
13,full,200,0.001,1951.0202979535838
14,full,200,0.0001,1915.3002286615301
15,full,300,0.01,2019.8976321158493
16,full,300,0.001,1951.0202965669087
17,full,300,0.0001,1915.3002298115796
18,tied,100,0.01,-136440.77227064298
19,tied,100,0.001,-136436.080663158
20,tied,100,0.0001,-136435.23228226296
21,tied,200,0.01,-136440.77226999006
22,tied,200,0.001,-136440.007320771
23,tied,200,0.0001,-136439.1589399751
24,tied,300,0.01,-136440.7722707168
25,tied,300,0.001,-160564.42671467183
26,tied,300,0.0001,-160563.52510786295
27,spherical,100,0.01,-202371.6701021273
28,spherical,100,0.001,-202378.13111210303
29,spherical,100,0.0001,-202383.96279428055
30,spherical,200,0.01,-202371.67010212698
31,spherical,200,0.001,-202378.13111210093
32,spherical,200,0.0001,-202383.96279428081
33,spherical,300,0.01,-202371.67010212806
34,spherical,300,0.001,-202378.13111210318
35,spherical,300,0.0001,-202383.96279428055
